ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'acquire' of '_multiprocessing.SemLock' objects}
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/copy.py:66(copy)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/copy.py:268(_reconstruct)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:117(getLevelName)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:154(<lambda>)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:212(_acquireLock)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:221(_releaseLock)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:282(__init__)
2,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:360(getMessage)
2,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:418(usesTime)
2,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:421(format)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:528(formatTime)
2,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:573(usesTime)
2,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:579(formatMessage)
2,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:595(format)
3,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:736(filter)
3,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:838(acquire)
3,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:845(release)
2,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:858(format)
2,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:881(handle)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1002(flush)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1013(emit)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1118(emit)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1368(info)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1446(findCaller)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1476(makeRecord)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1491(_log)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1516(handle)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1570(callHandlers)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1600(getEffectiveLevel)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/__init__.py:1614(isEnabledFor)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/threading.py:243(__exit__)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/threading.py:255(_is_owned)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/threading.py:240(__enter__)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/threading.py:335(notify)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/threading.py:1064(name)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/threading.py:1226(current_thread)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/copyreg.py:87(__newobj__)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/posixpath.py:41(_get_sep)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/posixpath.py:52(normcase)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/posixpath.py:121(splitext)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/posixpath.py:144(basename)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/genericpath.py:117(_splitext)


